code,anno,spesa_out_eur_m
AT,2012,7821.0
AT,2013,7901.0
AT,2014,8329.0
AT,2015,8408.0
AT,2016,8800.0
AT,2017,9454.0
AT,2018,10019.0
AT,2019,10364.0
AT,2020,3925.0
AT,2021,6135.0
AT,2022,11577.0
AT,2023,14072.0
AT,2024,15433.0
AT,2025,16131.0
CH,2012,12479.3
CH,2013,12820.9
CH,2014,13401.9
CH,2015,15501.1
CH,2016,15907.9
CH,2017,16887.8
CH,2018,16147.5
CH,2019,16752.3
CH,2020,8383.1
CH,2021,9874.2
CH,2022,16692.5
CH,2023,20792.3
CH,2025,20155.3
DE,2010,58934.0
DE,2011,61686.0
DE,2012,65105.0
DE,2013,68794.0
DE,2014,70261.0
DE,2015,69861.0
DE,2016,72084.0
DE,2017,78839.0
DE,2018,80934.0
DE,2019,83292.0
DE,2020,34029.0
DE,2021,43150.0
DE,2022,85204.0
DE,2023,106767.0
DE,2024,107890.0
DE,2025,115809.0
ES,2010,12787.0
ES,2011,12492.0
ES,2012,12012.0
ES,2013,12360.0
ES,2014,13572.0
ES,2015,15724.0
ES,2016,16998.0
ES,2017,19611.0
ES,2018,22395.0
ES,2019,24813.0
ES,2020,7572.0
ES,2021,10667.0
ES,2022,21117.0
ES,2023,26275.0
ES,2024,30205.0
ES,2025,34686.0
FR,2010,29016.0
FR,2011,32029.0
FR,2012,31118.0
FR,2013,31788.0
FR,2014,36701.0
FR,2015,35627.0
FR,2016,36476.0
FR,2017,38949.0
FR,2018,41978.0
FR,2019,45148.0
FR,2020,25151.0
FR,2021,32422.0
FR,2022,44212.0
FR,2023,51768.0
FR,2024,55224.0
FR,2025,57387.0
GB,2010,41668.6
GB,2011,40178.4
GB,2012,43959.0
GB,2013,50222.5
GB,2014,53568.9
GB,2015,61260.1
GB,2016,60672.6
GB,2017,58889.9
GB,2018,60049.1
GB,2019,64155.8
