anno;museo nome;visitatori paganti;visitatori non paganti;Totale visitatori;Introiti lordi in euro;Introiti netti in euro
2024;Cenacolo Vinciano;439718;89704;529422;6297563;5821041,44
2024;Pinacoteca di Brera;328181;218336;546517;3672135,5;2689965,465
2024;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;5722;5722;0;0
2023;Cenacolo Vinciano;393635;89596;483231;5605466;5152544,347
2023;Pinacoteca di Brera;307214;157657;464871;3269357;2398683,07
2023;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;11032;11032;0;0
2022;Cenacolo Vinciano;352518;65756;418274;4833967;3093809,9
2022;Pinacoteca di Brera;267394;129688;397082;2638722;1931499,14
2022;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;3123;3123;0;0
2021;Cenacolo Vinciano;151395;69968;221363;1960023;1517947,7
2021;Pinacoteca di Brera;101855;44515;146370;975732;975732
2021;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;206;206;0;0
2020;Cenacolo Vinciano;108143;24080;132223;1203364,5;1083028,05
2020;Pinacoteca di Brera;33561;78166;111727;369902;301470,13
2020;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;359;359;0;0
2019;Cenacolo Vinciano;365138;80590;445728;3969668,5;3572701,65
2019;Pinacoteca di Brera;241456;176520;417976;2291778;1935331,23
2019;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;3992;3992;0;0
2018;Cenacolo Vinciano;354117;71634;425751;3500900;3150810
2018;Pinacoteca di Brera;231902;155066;386968;2115493;1903944
2018;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;5576;5576;0;0
2017;Cenacolo Vinciano;354214;62133;416347;3489372;3140434,8
2017;Pinacoteca di Brera;221313;143228;364541;1981491;1783341,9
2017;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;6945;6945;0;0
2016;Cenacolo Vinciano;346856;63837;410693;2835458;2551912
2016;Pinacoteca di Brera;212919;130254;343173;1812604;1631344
2016;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;5243;5243;0;0
2015;Cenacolo Vinciano;389126;73272;462398;2490629;2241566
2015;Pinacoteca di Brera;186769;135603;322372;1037312;933580
2015;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;5371;5371;0;0
2014;Cenacolo Vinciano;335627;70815;406442;2141399;1927259
2014;Pinacoteca di Brera;160570;109235;269805;882866;794580
2014;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;3741;3741;0;0
2013;Cenacolo Vinciano;339557;70600;410157;2173031;1955728
2013;Pinacoteca di Brera;146883;102696;249579;826800;744120
2013;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;3593;3593;0;0
2012;Cenacolo Vinciano;326987;80493;407480;2088619;1879757
2012;Pinacoteca di Brera;158820;106598;265418;889698;800728
2012;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;3374;3374;0;0
2011;Cenacolo Vinciano;306910;81886;388796;1956991;1761292
2011;Pinacoteca di Brera;154674;132716;287390;745148;670633
2011;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;3108;3108;0;0
2010;Cenacolo Vinciano;265309;72637;337946;1695116;
2010;Pinacoteca di Brera;154688;132144;286832;1226178;
2010;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;5179;5179;0;
2009;Cenacolo Vinciano;265027;65044;330071;1687868;
2009;Pinacoteca di Brera;186419;150562;336981;1819786;
2009;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;6154;6154;0;
2008;Cenacolo Vinciano;270098;64913;335011;1726962;
2008;Pinacoteca di Brera;128789;75054;203843;604855;
2008;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;6501;6501;0;
2007;Cenacolo Vinciano;266828;63850;330678;1709013;
2007;Pinacoteca di Brera;129412;73999;203411;611605;
2007;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;8056;8056;0;
2006;Cenacolo Vinciano;279131;54064;333195;1792775;
2006;Pinacoteca di Brera;125014;77363;202377;586675;
2006;"Parco dell'Anfiteatro Romano e Antiquarium ""Alda Levi""";0;6827;6827;0;
2005;Cenacolo Vinciano;280406;47973;328379;1799460;
2005;Pinacoteca di Brera;120071;83185;203256;576948;
2004;Cenacolo Vinciano;263984;52032;316016;1688772;
2004;Pinacoteca di Brera;113829;94098;207927;619938;
2004;Circuito museale di Milano;3084;0;3084;22359;
2003;Cenacolo Vinciano;255649;51691;307340;1631968;
2003;Pinacoteca di Brera;111269;79262;190531;524190;
2003;Circuito museale di Milano;2325;0;2325;16856;
2002;Cenacolo Vinciano;256845;51778;308623;1642485;
2002;Pinacoteca di Brera;113108;74819;187927;550769;
2001;Cenacolo Vinciano;252444;60189;312633;1535157;
2001;Pinacoteca di Brera;118324;74546;192870;554838;
2000;Cenacolo Vinciano;248348;64816;313164;1510286;
2000;Pinacoteca di Brera;124726;76188;200914;505793;
1999;Cenacolo Vinciano;190688;43030;233718;1177996;
1999;Pinacoteca di Brera;125378;58916;184294;690616;
1998;Cenacolo Vinciano;216251;23911;240162;1340212;
1998;Pinacoteca di Brera;144482;68525;213007;596950;
1997;Cenacolo Vinciano;285276;23483;308759;1767993;
1997;Pinacoteca di Brera;89247;39268;128515;368738;
1996;Cenacolo Vinciano;269122;23690;292812;1667879;
1996;Pinacoteca di Brera;86856;40158;127014;358859;
