code,iso3,paese,anno,spesa_out_usd
AT,AUT,Austria,2015,11337000000.0
AT,AUT,Austria,2016,11634000000.0
AT,AUT,Austria,2017,12878000000.0
AT,AUT,Austria,2018,14109000000.0
AT,AUT,Austria,2019,13922000000.0
AT,AUT,Austria,2020,5551000000.0
CA,CAN,Canada,2008,33843000000.0
CA,CAN,Canada,2009,30225000000.0
CA,CAN,Canada,2010,37225000000.0
CA,CAN,Canada,2011,41247000000.0
CH,CHE,Svizzera,2008,14083000000.0
CH,CHE,Svizzera,2009,13799000000.0
CH,CHE,Svizzera,2010,14332000000.0
CH,CHE,Svizzera,2011,17538000000.0
CH,CHE,Svizzera,2012,18884000000.0
CH,CHE,Svizzera,2013,19963000000.0
CH,CHE,Svizzera,2014,20853000000.0
CH,CHE,Svizzera,2015,19675000000.0
CH,CHE,Svizzera,2016,19941000000.0
CH,CHE,Svizzera,2017,21501000000.0
CH,CHE,Svizzera,2018,21441000000.0
CH,CHE,Svizzera,2019,21097000000.0
CH,CHE,Svizzera,2020,10372000000.0
DE,DEU,Germania,2008,105691000000.0
DE,DEU,Germania,2009,92899000000.0
DE,DEU,Germania,2010,90866000000.0
DE,DEU,Germania,2011,99909000000.0
DE,DEU,Germania,2012,96196000000.0
DE,DEU,Germania,2013,102668000000.0
DE,DEU,Germania,2014,101737000000.0
DE,DEU,Germania,2015,85334000000.0
DE,DEU,Germania,2016,87412000000.0
DE,DEU,Germania,2017,97163000000.0
DE,DEU,Germania,2018,103502000000.0
DE,DEU,Germania,2019,101231000000.0
FR,FRA,Francia,2008,50373000000.0
FR,FRA,Francia,2009,45087000000.0
FR,FRA,Francia,2010,46695000000.0
FR,FRA,Francia,2011,55509000000.0
FR,FRA,Francia,2012,50068000000.0
FR,FRA,Francia,2013,52444000000.0
FR,FRA,Francia,2014,58464000000.0
FR,FRA,Francia,2015,47713000000.0
FR,FRA,Francia,2016,49029000000.0
FR,FRA,Francia,2017,53787000000.0
FR,FRA,Francia,2018,59131000000.0
FR,FRA,Francia,2019,59751000000.0
FR,FRA,Francia,2020,31193000000.0
JP,JPN,Giappone,2008,38971000000.0
JP,JPN,Giappone,2009,34787000000.0
JP,JPN,Giappone,2010,39306000000.0
JP,JPN,Giappone,2011,39760000000.0
JP,JPN,Giappone,2012,40967000000.0
JP,JPN,Giappone,2013,32244000000.0
JP,JPN,Giappone,2014,28609000000.0
JP,JPN,Giappone,2015,23252000000.0
JP,JPN,Giappone,2016,25968000000.0
JP,JPN,Giappone,2017,25774000000.0
JP,JPN,Giappone,2018,28097000000.0
JP,JPN,Giappone,2019,29146000000.0
JP,JPN,Giappone,2020,6741000000.0
RU,RUS,Russia,2008,26401000000.0
RU,RUS,Russia,2009,23785000000.0
RU,RUS,Russia,2010,30169000000.0
RU,RUS,Russia,2011,37343000000.0
RU,RUS,Russia,2012,48096000000.0
RU,RUS,Russia,2013,59504000000.0
RU,RUS,Russia,2014,55383000000.0
RU,RUS,Russia,2015,38432000000.0
RU,RUS,Russia,2016,27654000000.0
RU,RUS,Russia,2017,35584000000.0
RU,RUS,Russia,2018,38791000000.0
RU,RUS,Russia,2019,40611000000.0
RU,RUS,Russia,2020,10800000000.0
US,USA,Stati Uniti,2008,119135000000.0
US,USA,Stati Uniti,2009,115123000000.0
US,USA,Stati Uniti,2010,123831000000.0
US,USA,Stati Uniti,2011,130606000000.0
US,USA,Stati Uniti,2012,138167000000.0
US,USA,Stati Uniti,2013,132322000000.0
US,USA,Stati Uniti,2014,140228000000.0
US,USA,Stati Uniti,2015,144669000000.0
US,USA,Stati Uniti,2016,147640000000.0
US,USA,Stati Uniti,2017,158287000000.0
US,USA,Stati Uniti,2018,176818000000.0
US,USA,Stati Uniti,2019,186079000000.0
US,USA,Stati Uniti,2020,48837000000.0
